"entry_id","institution","open_data_platform","open_data_volume"
"2bhro0CMCB9W8agI8vPT9d","Collectie Herman Maes","Europeana","308"
"4yEP2QmHOtZ0u8gyUzEaWM","Gallo-Romeins Museum","Wikimedia Commons","154"
"1Tx2xFryX91J07iyrggw2Y","CIVA","Wikimedia Commons","12"
"2qXY2fWjUzueEHoX4YtS3t","Wienbibliothek im Rathaus","Europeana","17,608"
"22iF5YD3qOhrAKhhiXLvcH","Gruuthuse Museum","Wikimedia Commons","30"
"65oV2hZYcG7NXiRKrdsVDl","Jakob Smitsmuseum","Wikimedia Commons","250"
"4ehD6Osna7Aecwn8A8unpe","Koninklijk Instituut voor het Kunstpatrimonium","Europeana","3,690"
"1fkBxxZVL9l2gyqurJinCI","Koninklijk Museum voor Schone Kunsten Antwerpen","Aggregator","5,000"
"5tXyE3gFmxDtt7CIIFk6Yq","Koninklijk Museum voor Schone Kunsten Antwerpen","Own website","9,395"
"5258lwhpqXrOc3JXkl1vNW","Koninklijk Belgisch Instituut voor Natuurwetenschappen","Europeana","4,074"
"4AwFaUwWlq3odcfVOaPRDw","Koninklijk Museum voor Schone Kunsten Antwerpen","Wikimedia Commons","758"
"300qOWR5qvbjzpl0tStKb6","King Baudouin Foundation","Wikimedia Commons","1,490"
"74ESASX7YgKKzSKeoX7Wlk","Koninklijk Instituut voor het Kunstpatrimonium","Aggregator","0"
"5pAhEBb8MvlXWxYSl8TCsB","Koninklijke Bibliotheek van België","Wikimedia Commons","2,413"
"7EWPKuPFAUHZtf2GMLAa0E","Horta Museum","Wikimedia Commons","44"
"4ctksbKnID3EZQ8ndu0XFP","Industriemuseum","Own website","7,588"
"kAvfKsKZnUz9L66RSw1b8","KOERS Museum van de wielersport","Wikimedia Commons","597"
"4DUoAspMp9L4DlyyAlLDD7","KU Leuven","Europeana","34,093"
"77gKfBTL2zPPBjrbq06wED","Prentenkabinet, Universiteit Antwerpen","Wikimedia Commons","1,128"
"2TCpgQxVojf6Wna0DvNhx5","Liberas (Het Liberaal Archief)","Flickr Commons","280"
"4BNHvOI6bxHopQVSPOnFFq","Museum voor Schone Kunsten Gent (MSK)","Wikimedia Commons","3,753"
"zVM2Dc8scKFslKDEnfuzq","Plantentuin Meise","Europeana","1,383,209"
"5arz1KDt0u952fcFyTRXpr","NAVIGO Nationaal Visserijmuseum","Wikimedia Commons","5"
"1Tuav3IdoW7znkYn4uiUGS","Museum Plantin-Moretus ","Wikimedia Commons","232"
"1ljLBAgaN1GfvakGAcyQJr","MoMu - Fashion Museum of Antwerp","Wikimedia Commons","1,314"
"3zDWpqjDxINmFGh4fbtY6R","Letterenhuis","Wikimedia Commons","110"
"qoNSP82iR4xFmyBDJ0pep","MoMu - Fashion Museum of Antwerp","Europeana","9,862"
"4NYcOAnPbfUyFHOthPm6eA","Mu.ZEE","Wikimedia Commons","1,202"
"291LwhgcIlkEvuNgYAbnlL","Arquivo Histórico Municipal (Guarulhos)","Wikimedia Commons","91"
"4Og4Y1doRyvS90N6roaQeD","Arquivo Nacional","Wikimedia Commons","23,671"
"6jhucNrYJKY5ntU0puNzfI","Arquivo Público do Estado de São Paulo","Wikimedia Commons","755"
"6f93FsiJU3OGynnrZAHycs","Casa Museu Eva Klabin","Wikimedia Commons","181"
"6x6y5DgPqYvf5SjVDnBG6k","Universiteitsbibliotheek Gent","Europeana","1,517"
"6htbOoqUjZo10dt1BwyUwh","Casa de Oswaldo Cruz","Wikimedia Commons","2,197"
"TwywEwLnyWIgoAJlw4rDS","Vlaams Architectuurinstituut","Own website","442"
"60cyL6OUApJPJEcTpKzhHG","Arquivo Público do Estado do Espírito Santo","Wikimedia Commons","57"
"srOP9ubG6t1bKKnVh7kVH","Centro de Documentação Histórica e Memória Regional","Wikimedia Commons","1,526"
"55h6xmzZUDTDrF9UYN3Bed","Raakvlak","Wikimedia Commons","592"
"1UTbspUT1oBUfkNtjSDJt9","Centro de Memória do Curso de Enfermagem da UFES","Wikimedia Commons","21"
"73LtzzuUj11VFTQQFiXsxU","Fundação Casa de Rui Barbosa","Wikimedia Commons","6"
"3NHbdCA1LGCqbOufYSMUCm","Instituto Hercule Florence","Wikimedia Commons","77"
"7JowvCEKA2WXuSwaRlA8pM","Fábrica de Pios","Wikimedia Commons","215"
"1qgriHSrbi4oSc0UvLwEBM","Instituto de Estudos Brasileiros","Wikimedia Commons","37"
"79xaJFSK5L1jEZ5SEkKuIJ","Centro de Memória Unicamp","Wikimedia Commons","3,965"
"7MnRrXulSTXxWToB5Bs8sr","Fundação Mestre Bimba","Wikimedia Commons","100"
"4DDxIyZ9CxrFJO9cPqaD7f","Galeria Homero Massena","Aggregator","0"
"5uVDsiZZYO83eHqcotFC0r","Galeria Homero Massena","Wikimedia Commons","7"
"2elpghIB1RQUC15K2Eyw8P","Centro de Memória da Santa Casa da Misericórdia da Bahia","Wikimedia Commons","340"
"7wSP5QYLOKxzp1m2ZNugwv","Departamento do Patrimônio Histórico da Prefeitura de São Paulo","Wikimedia Commons","80"
"5wFWzU7HwCFX7KpFi39orL","Instituto Nacional da Mata Atlântica","Wikimedia Commons","26,167"
"5dRfKiWiNIP9mmSMr52HoU","MAG Seguros","Wikimedia Commons","7,288"
"6IPfFT6y7JK576iy1pilsl","Matemateca","Wikimedia Commons","327"
"4UbrDaMRZ2AEXeKJEfXoMH","Itu","Wikimedia Commons","1,079"
"94Am3F8fWW0XgmWwl19oz","Laboratório do Ambiente","Wikimedia Commons","1,453"
"2hRVttn5X7gF9JL912jspu","iPatrimônio","Wikimedia Commons","1,749"
"2wiop62SM6CHPjjFIqny2d","Laboratório de Historiografia da Arquitetura e Cultura Arquitetônica (LAHCA)","Wikimedia Commons","166"
"5KW9QWTXFt6PAX9Jlc0430","Instituto Moreira Salles","Wikimedia Commons","3,668"
"215AAArhroFCKdbTu8L9sw","Irmandade da Marujada de São Benedito de Bragança","Wikimedia Commons","186"
"30KFhQtAw1uITBZjl4ncCQ","Instituto Histórico e Geográfico de Vila Velha","Wikimedia Commons","126"
"3sQgt4Ae1OcI6eo7eeXRpK","Museu de Anatomia Veterinária da Faculdade de Medicina Veterinária e Zootecnia da USP","Wikimedia Commons","644"
"1Bdjm7sbAPLBu44KfY101u","Museu da Capitania de Ilhéus","Wikimedia Commons","3,590"
"4O8EOQoOHndIO2dRs6RTnw","Museu do Colono","Wikimedia Commons","3,310"
"5lFzdCR24Q31AGcoryGBl7","Museu da Abolição","Wikimedia Commons","247"
"6mRO4ktUVvtzTfgJGJ1eSF","Museu de Zoologia da Universidade de São Paulo","Wikimedia Commons","152"
"3e1Ok8hqyuJcaMgydx798o","Museu da Imigração, São Paulo","Wikimedia Commons","133"
"37e1Iu9IxyGcgzofAV6N8a","Museu de Arte Moderna da Bahia","Wikimedia Commons","180"
"1wakhhGPEjUafMzOBOw2MR","Midiateca Capixaba","Wikimedia Commons","4,134"
"6KQkhSJLXQupfl8dRGYd5U","Museu da Pessoa","Wikimedia Commons","12,571"
"4u8AeRQ2V7NhFhKsSF8rUl","Museu de Arqueologia e Etnologia da USP","Wikimedia Commons","914"
"3Ok2Lc3FCbofpss7moP1O1","Palácio Anchieta","Wikimedia Commons","95"
